lyrics,audio,song_name,title,description,channelid,view,author,duration,likes,category,publishdate,tags,id
,True,01 Dhan Din Vela,,,,0,,0,0,,1900-01-01 00:00:00,,
,True,01 Dharma Jineshwar Gaun,Anandghan Dhan Part 01 | 18th March 2016 | Dharma Jineshwar Gaavun Ranga Shun Dharma Nath Bhagwan,"Music Mantra Presents \""Anandghan Dhan Part 01\""
Dharma Jineshwar Gaavun Ranga Shun Dharma Nath Bhagwan 
By Shri Kummar Chatterjee, 18th March 2016,
At Nehru Centre, Mumbai.",UC2eM2hwC3nsUHAoxqF1diMw,173,Music Mantra,356,7,Music,2020-02-12 01:45:01,,12alerVyO4E
,True,01 Girua Re Gun Tum Tana,Giruva Re Gun Tum Tana-Jain Stavan-Jain Stavan,,UCJahrHwxAqVx70BD7AwlLog,17732,Ashish Jain,394,139,People \u0026 Blogs,2013-04-06 08:04:25,,Nd0tv7rRAmM
"हे दिनबंधु हे दिनानाथ ...
{ हे दिनबंधु हे दिनानाथ ,
तेरी दया से सब है सनाथ ) .. ( २ )
रटो नाम , प्रभु नाम ,
जपो नाम , प्रभु नाम ,
{ हे दिनबंधु हे दिनानाथ ,
तेरी कृपा से सब हैं सनाथ ) .. ( २ )
{ प्रभु नाम है तेरो साचो ,
जो पार करे भव फेरो ) .. ( २ )
जो पार करे भव फेरो ...
{ हे दिनबंधु हे दिनानाथ ,
तेरी कृपा से सब हैं सनाथ ) .. ( २ )
दिन-रात , सुबह-शाम ,
प्रभु नाम , प्रभु नाम ...
{ डोर जीवन की तेरे हवाले ,
तू चाहे बिगाडे सवारे ) .. ( २ )
तू चाहे बिगाडे सवारे ...
मैं तेरा हुं तू ही संभाल ,
तेरी कृपा से सब है सनाथ
{ हे दिनबंधु हे दिनानाथ ,
तेरी कृपा से सब हैं सनाथ ) .. ( २ )",True,01 He Dinbandhu He Dinanth,He din bandhu he dina nath Song,"All Jain New \u0026 Best Song Available now. This Chanel made for specially all Hit JAIN SONG. We are trying to reach most people with latest jain songs \u0026 Stavan. Jain all best singer song available now. Piyushbhai Shah, Prashantbhai Shah (Dikubhai), Parasbhai Shah, Jatinbhai Bid, Jainambhai Varia, Jaydeepbhai Swadiya, Ketanbhai Dedhia, Prashambhai Shah, Sampratibhai Shah, Viralbhai Surana, Bhavikbhai Shah, Parasbhai Gada,Prashant Parmanr (Music composer) etc.(Member of Samkit Group, Vardhman Sanskar Dham, Tapovan Sanskar Pith etc)
Now Get All Jain Songs, Stavans, Stuties, Dixa songs, Girnar song, Neminath bhagwan song, Adinath bhagwan song, Parasnath bhagwan song \u0026 more.

Hope you enjoy songs.",UCdD4Syf-BlLCGZ7bJxPG_tA,33328,Jain Song,350,375,Music,2017-06-07 06:19:54,"Jain latest song,jain new songs,latest jain songs,piyushbhai jain songs",Y_RxJuchLNU
,True,01 Janma - Shobha Nyari Chhe Janma Katha Ni,shobha nyari che janam katha ni (janm kalyanak of jineshwar dev),"To Download This Song Inbox Us : www,facebook.com/hriday.parivartan 
પરમતારક શ્રી જિનેશ્વરદેવ નો જયારે જન્મ થયો હશે એ પળ કેટલી ધન્ય હશે. દેવો કેવું નાચ-ગાન કરતા હશે. માતા નો હર્ષ કેટલો બધો વધ્યો હશે. અરે ત્રણે ભુવન માં કેવી સુંદર જ્યોતિ થઇ હશે. પરમાત્મા ના જન્મ સમય ની પ્રત્યેક ક્ષણ નો સાક્ષાત્કાર આ ગીત માં કરવા માં આવ્યો છે.પરમાત્મા ના જન્મ સમયની શોભા કેટલી સુંદર છે તે આપણને આ ગીતના માધ્યમ વડે ખબર પડશે. ચાલો ત્યારે શરૂઆત કરીએ.

રચયિતા :પૂ. ગણીવર્ય શ્રીઉદયરત્ન વિજયજી મ.સા.
(પ.પૂ. તપાગચ્છાધીપતી આ.ભ.શ્રી વિજય રામસુરીશ્વરજી મહારાજા ના શિષ્ય 
પ.પૂ. ગચ્છાધીપતી આ.ભ.શ્રી વિજય અભયદેવસુરીશ્વરજી મ.સા. ના શિષ્ય 
આચાર્ય શ્રી વિજય રત્નચંદ્રસુરીશ્વરજી મ.સા. ના શિષ્ય ગણીવર્ય શ્રીઉદયરત્ન વિજયજી મ.સા.)
ડહેલાવાળા.

સ્વર : શ્રી જયદીપ સ્વાદિયા (મુંબઈ)

શોભા ન્યારી ન્યારી શોભા ન્યારી છે જનમ કથાની

ઇન્દ્ર ને દેવો ઉમટ્યા મેરુ શિખરે તમને લઈને.....
પુત્ર તમારો સ્વામી અમારો જનની ને એમ કહીને....
પછી પાંચ રૂપ કરી દઈને..... (૨) 
આશા જાગી...(૨) સહુને તરવાની......

શોભા ન્યારી છે જનમ કથા ની.... 

કરોડો કળશો ભેગા થઇ ને તેજ લીસોટા તાણે.....
જલભર કુંભ લઇ દેવો એ, વાદળ વિંધ્યા જાણે.....
બાળા રાજા આ વૈભવ માણે....(૨)
ઈચ્છા જાગી...(૨) ચરણે ઢળવાની.....


શોભા ન્યારી છે જનમ કથા ની.... 

રૂપેરી જળ ધોધ વચાળે સોનલ વરણી કાયા....
ઝાલર શંખ ના નાદની વચ્ચે પરમેશ્વર તમે નાહ્યા....
દેવોએ ગીતો ગાયા.... (૨)
પ્રીતિ જાગી...(૨) છે સહુ ને તમારી....

શોભા ન્યારી છે જનમ કથા ની....

સુરજ-ચંદા રોજ જગત માં ઉદય ને અસ્ત થવાના....
નાથ તમારી જનમ કથા ના તેજ ન આથમવાના...
એતો સદા અમર રહેવાના.....(૨)
મને લાગી.... (૨) છે લગની તમારી


શોભા ન્યારી છે જનમ કથા ની....
 

આ ગીત સંપૂર્ણ સાંભળ્યા પછી આપનો પ્રતિભાવ અમને જરૂરથી આપશો. 
પ્રતિભાવ અહીં આપશો : www.facebook.com/hriday.parivartan",UCi04XW0fn6waxSLyg5udEYA,12791,Hriday Parivartan,576,143,Music,2012-09-30 10:33:36,"jain stavan,janmkalyanak song,janmkalyanak,shobha nyari nyari,janmkalyanak songs,jain janmkalyank songs,AADINATH,PARSHWNATH,abhinandan,parshwnath stavan,hriday parivartan,janm kalyank of god,jain god birth,birth of jineshwara,birth of aadinath",LkMCB1YCFSA
"રાગ : અલ્લા વારિયા ....
આ જીવનના શ્વાસે શ્વાસે આપ છો પાસે ,
આ જીવનના રાત દિવસ છે તુજ વિશ્વાસે ,
તારુ શરણ ... તારુ સ્મરણ ... તારુ બસ કીર્તન...હો ... આજીવનના ..
હો જય શંખેશ્વરા ... હો જય શંખેશ્વરા ... હો જય શંખેશ્વરા ...
હો જય જય હો ...
આષાઢી સર્જે છે , સઘળુ વિસર્જે છે , ભક્તિ કરે છે એ દિનરાત .. …
મુક્તિના દાતા રે , ભવથી છો ત્રાતારે , તું છે સ્વામી બંધુ તાત માત ... હો...આ જીવનના … … …
હો જય શંખેશ્વરા ... હો જય શંખેશ્વરા ... હો જય શંખેશ્વરા ...
હો જય જય હો ...
સૂર્ય ચંદ્ર વિમાને , દેવલોકના સ્થાને , પધાર્યા છો પ્રભુજી આપ ...
આકાશે પાતાલે , ત્રણે લોકે ત્રિકાલે , પૂજાયા છો પ્રભુજી આપ ... હો આ જીવનના ...
હો જય શંખેશ્વરા ... હો જય શંખેશ્વરા...હો જય શંખેશ્વરા .
હો જય જય હો ...
નેમિનાથ ઉપદેશે , અટ્ઠમ તપને વશે , પ્રગટ્યા પદ્માવતીને હાથ … … …
શંખ ફુંક્યો નરેશે , કૃષ્ણે હર્ષ આવેશે , એને આપ્યો યુદ્ધ વિજયમાં સાથ , હો.આ જીવનના ..
હો જય શંખેશ્વરા ... હો જય શંખેશ્વરા ... હો જય શંખેશ્વરા ...
હો જય જય હો ...",True,01 Jay Shankheshwara,જય શંખેશ્વરા | Jay Shankheshwara | Album ASHADHI BHAKTI |  Parshwanath Bhagvan Stavan,"Lyrics : P. P. Sanskaryashvijay maharaj saheb
Singer : Sani Shah
Music : Prashant Parmar
Song genre : Jain Stavan / Jain Bhajan

Original Song Credits 
Song - Allah Waariyan
Movie - Yaariyan
Singer - Shafaqat Amanat Ali 
Music \u0026 Lyrics - Arko Pravo Mukherjee
Music Label - T-Series 
Mixed \u0026 Mastered - Eric Pilliai (Future Sound Of Bombay)

THIS SONG IS PURELY FOR DEVOTIONAL PURPOSE ONLY...

लाभार्थी परिवार : उदारदिल गुरुभक्त श्रीमती साधनाबेन निरंजनभाई चोकसी - वाल्केश्वर

Join our youtube channel for more upcoming  soulful stavans of \""Ashadhi Bhakti\"" and \""Rajimati Preeti\"".... dedicated in feet of prabhu shankheshwar pashwanath and prabhu girinar mandan neminath...

THIS STAVAN RINGTONE DOWNLOAD

https://drive.google.com/file/d/1ENC9wvqduKRFJTv9OtkYfzL6g-NzYGOq/view?usp=drivesdk 

Lyrics :
આ જીવનના શ્વાસે શ્વાસે આપ છો પાસે,
આ જીવનના રાત દિવસ છે તુજ વિશ્વાસે,
તારું શરણ... તારું સ્મરણ... તારું બસ કીર્તન....
હો જય શંખેશ્વરા... હો જય શંખેશ્વરા... 
હો જય શંખેશ્વરા... હો જય જય હો...


આષાઢી સર્જે છે, સઘળું વિસર્જે છે, 
ભક્તિ કરે છે એ દિનરાત...
મુક્તિના દાતા રે, ભવથી છો ત્રાતારે, 
તું છે સ્વામી બંધુ તાત માત...                    
                             હો..આ જીવનના...


સૂર્ય ચંદ્ર વિમાને, દેવલોકના સ્થાને, 
પધાર્યા છો પ્રભુજી આપ...
આકાશે પાતાલે, ત્રણે લોકે ત્રિકાલે, 
પૂજાયા છો પ્રભુજી આપ... 
                             હો.. આ જીવનના...


નેમિનાથ ઉપદેશે, અઠમ તપને વશે, 
પ્રગટ્યા પદ્માવતીને હાથ...
શંખ ફૂંક્યો નરેશે, કૃષ્ણે હર્ષ આવેશે, 
એને આપ્યો યુદ્ધ વિજયમાં સાથ
                             હો..આ જીવનના..",UCeKsapkcgNG20BMG0u__D2g,339403,AjitSanskar,429,2708,Music,2020-07-21 03:30:01,"shankheshwar bhakti song,jain bhajan,new stavan,latest stavan,new jain stavan,latest jain stavan,jain stavan gujarati,stavan,new stavan jain 2020,jain stavans,108 Parshvanath,Jai Sankheshwara,jain stavan playlist,Sankeshwar Swami,shankheshwar dada,Parshwanath,jain stavans non stop,stavan jain latest,jain stavans new,Popular Bhajans,jain stavan songs,devotional jain songs,Morning Non-Stop Jain Bhajan,bhakti songs,shankheshwar parshwanath stavan",HYtGZRURV9w
,True,01 Jay Taleti - Rahese Mara Shwase,Rahese mara swase | Jay taleti | new Giriraj  song | jaydeep swadiya | Pu.Udayratna Suriji M.S.,"song name : rahese mara swase (Jay taleti)

🖋️Rachna: P. Pu. Aa. Uday ratna Suriji MS

🎼Sur-Sangit: jaydeep swadiya 

🤝🏻Sanyojak: Team Hriday Parivartan

🪗 Music Composition \u0026 Programming: jaydeep swadia


🎬Video Production: Team Hriday Parivartan

📸Photography \u0026 Videography: Pinalbhai Shah / Anujbhai Shah (Ahmedabad), Rameshbhai Goswami (Mahesana), Jigar Thakkar (Deesa), Neeraj Soni (Udaipur)

📽️Video Editing: Neeraj Soni (Udaipur)

Sponsored By: Nirmalaben Mansukhlal shah parivar (Dhananjay Plast)
(Savarkundla  wala)
Vadodara

lyrics

रहेशे मारा श्वासे, आजीवन तारुं स्थान; 
कारण के तारा शिखरे शोभे भगवान
 गिरिराजनी गाथा छे, ए भाग्यविधाता छे; 
ए मारो प्रियतम छे, तेथी सुखशाता छे. 
हैये पीपासा छे, आंखोमां आशा छे.
प्रियतमनी वातो माटे, प्रेमभीनी भाषा छे ... रहेशे ...

वरसोथी रोज मळु छुं, तो य नवो लागे; 
मळवा ना आवुं त्यारे सपनामां जागे.
अधखुली पांपण पण कहेती हे ... चरण!! चालो ... 
डगलुं भरुं त्यां आखो रस्तो सूझाडे छे
थाक ना लगाडे तेवो साथ ए बताडे छे ... २हेशे ... 

पेली रूपेरी आंगी जय तळेटी छे,
गिरिवरनां ए चरणोमां दुनिया लेटी छे; 
उगमणी दिशामां जेवो सूर्य-उदय थातो
 सरितानां पाणी एनां अंगने पखाळे छे ... 
सूरजने चंदा एनो चहेरो उजाळे छे...रहेशे ...",UCi04XW0fn6waxSLyg5udEYA,39229,Hriday Parivartan,358,535,Music,2025-04-12 03:30:05,,7jFL76GwrN8
,True,01 Jinanda Woh Din Kyon Na,,,,0,,0,0,,1900-01-01 00:00:00,,
,True,01 Lagna No Prasang Aavyo Re,LAGNA NO PRASANG AVYO RE,"Provided to YouTube by Amuseio AB

LAGNA NO PRASANG AVYO RE · AJITSANSKAR · Jainam Variya

LAGNA NO PRASANG AVYO RE

℗ AJITSANSKAR

Released on: 2023-10-01

Composer: Pujya Aacharya Shree SanskaryashSurishwarji Maharaja

Auto-generated by YouTube.",UC8eRfzlMAp3NuT7_dFjrI3A,889,AJITSANSKAR - Topic,409,32,Music,2023-09-30 10:03:50,"AJITSANSKAR,Jainam Variya,LAGNA NO PRASANG AVYO RE",gvlsbPy9wqc
,True,01 Main Kino Nahi Tum Bin,9 - SuvidhiNath Bhagwan Stavan - Me Kino Nahi Tum Bin Aur SHu RAAG,"9 - SuvidhiNath Bhagwan Stavan
Me Kino Nahi Tum Bin Aur SHu RAAG
Welcome to
www.jainsite.com
Guidance : Muni Bhagyachandra Vijay ms


- The Most Popular Jain Website Visit
https://jainsite.com/

- Jainsite Android Mobile Application
install 
https://play.google.com/store/apps/details?id=com.mobisys.android.jainsite

- Jainsite Whatsapp Channel
Save This Mobile Number
\u0026 send Your Name \u0026 City Name
9867711171

- Subscribe Our Youtube Channel 
https://www.youtube.com/user/JAINSITE

- Jainsite Facebook Page
Like like like
https://www.facebook.com/jainsite

- Make Jainsite ID Card online
https://jainsite.com/register/add.php
Get Benifits of Jain Minority, Help for jain cast cerficate, Discount at Hospital, Medical shop, Pathalogy etc.

-Online Jain Divine Shop
https://shop.jainsite.com/

- Online Jain Dharmashala Booking At Palitana Jain Tirth(Ac - Non Ac rooms)
clcik Here
http://jaindharmashala.com

Guidance : Muni Bhagyachandra Vijay ms
More Details : info@jainsite.com

#Jain #Jainism #Jain_mp3 #jain_stavan #jain_stavan_lyrics #jain_bhajan",UCXPyo3p2YJ9VnMLZEZ1jNtg,13447,Jainsite,329,143,Nonprofits \u0026 Activism,2016-10-19 06:21:42,"famoush jain song,jain songs,jain mp3,jainism,jain stavan",n2-pURGDVHE
,True,01 Munisuvrat Jin Vandata,Munisuvrat jin vandata,,UCdHrU67IuDC8P_ccB66-Wow,879,SINGER NISARG JAIN,322,23,People \u0026 Blogs,2021-02-02 11:50:09,,yz9GAaW-3-w
,True,01 Navkar Mantra,108 Navkar Mantra (Namokar mantra) | नवकार मंत्र | Original tune | CA Anjali Jain | Jain mantra,"Voice - CA Anjali Jain
This mantra has been composed in its most original form of chanting which is popular worldwide.
Play this mantra in your homes and work places, for your kids and elders and you will instantly feel the positive energy around, this composition is believed to be the most beneficial sequence of sounds for spiritual progress.
NAVKAR MANTRA - नवकार मंत्र जैन धर्म का सर्वाधिक महत्वपूर्ण मन्त्र है। इसे 'नवकार मन्त्र', 'नमस्कार मन्त्र' या 'पंच परमेष्ठि नमस्कार' भी कहा जाता है। इस मन्त्र में अरिहन्तों, सिद्धों, आचार्यों, उपाध्यायों और साधुओं का नमस्कार किया गया है।
If there is a single prayer or sutra that describes the essence of Jainism, then it is the Navkar Mantra. The Navkar Mantra on a basic level is simply the five-fold salutation to the five spiritual entities (panch-parmeshthi) of the universe.

Do like n share the video with your family n friends..
The video has been uploaded only for entertainment purpose.
Heartous thanks for watching the video.
Please leave your valuable feedbacks and don't forget to hit on like subscribe and share button.

You can contact us at 8319515831 or write us at anjalijain217@gmail.com for collaborations, Jain bhajan programs, bhakti, dedicated Customised songs for singing or dance performances, devotional songs, recording projects or any related stuff.

To follow CA Anjali Jain u can click on 
Facebook Page - 
https://m.facebook.com/caanjalichopda/

Personal Facebook account 1 - 
https://www.facebook.com/profile.php?id=100001265698483
Personal Facebook account 2 -
https://www.facebook.com/caanjalijainbhajansinger

Instagram Personal Account - 
https://instagram.com/ca_anjali_jain__?igshid=l3gfokym8mli
Instagram Page - 
https://instagram.com/ca_anjali_jain_bhajan_singer?igshid=9h2cxiterkdc

Work Place - Swaranjali Music Academy, Raipur(online \u0026 offline classes)
FB - https://m.facebook.com/SwaranjaliMusicSchool/
Instagram - https://instagram.com/schoolswaranjalimusic?igshid=oft441i8wrv7









#navkarchannel #navkarmantra #navkar #namoarihantanam #omnamoarihantanam
#namaskarmahamangalsutra #panchparmeshthinamaskar #108navkar #108navkarmantra 
#jainsutra #jainmantras #jainstotra #jainstuti 
#jainmantra #jain #jainism #jainchannel #jaindharm #jainstavan #jainbhajan #jainstavans #jains #jaindharm #jaindharam #jainismofficial #chants #chanting #chantforpeaceofmind
#chantforlove #chantformoney #chantforgrowth #mantra #mantras #mantraforhappiness #mantraforpeace #mantraforwealth #chantingforhappiness #mantraforpeace #mantraforpeaceofmind #jainbhajannew #anjalijain #caanjalijain #caanjalijainsongs #manglacharan #manglacharansongs",UCzlktSLm2RDphVV2z8fvQ_g,5828243,CA Anjali Jain,3840,22949,Music,2023-04-09 12:10:41,"navkarmantra,navkar,108navkar,108navkarmantra,namaskarmantra,namoarihantanam,newnavkarmantra,newmanglacharan,manglacharan,newjainbhajan,jainbhajan,jainstavan,jainstotra,jainmantra,navkarmantradhun,manglacharansong,mantra,bhaktigeet,chants,chantforhappiness,chantformoney,chantforpeace,jainsongsnew,anjalijainbhajan,caanjalijainsongs,jainsinger,bhajansongs,mantraforhappiness,mantraformoney,mantraforpeace,meditation,meditationmusic,mantraforkids,mantrajaap,navkarjaap,mantraforpositiveenergy",CtTMILyOtNo
,True,01 Padmaprabh Pran Se Pyara,Padmaprabhu Pran Se Pyara | Jain Prachin Stavan | Padmaprabhu Swami | Sandhya Bhakti | Amey Data,"Sandhya Bhakti channel brings to you a collection of Prachin, Arvachin Stavan \u0026 Sanjay composed by Purvacharyas and melodiously sung by various singers. 

These stavana can be used in Pratikraman, Chaityavandan and Prabhu Bhakti.

संपूर्ण स्तवन-

पद्मप्रभ प्राण से प्यारा, छुडावो क़र्म की धारा,
क़र्मफंड तोडवा धोरी,
प्रभुजी से अर्ज है मोरी

लघुवय एक थे जिया, मुक्तिमें वास तुम किया,
न जानी पीर थें मोरी
प्रभु अब खिंचले दोरी

विषयसुख मानी मों मनमें, गयो सब काल गफलतमें,
नरक दुःख वेदना भारी
निकलवा ना रही बारी

परवश दीनता कीनी, पापकी पोट सिर लीनी,
भक्ति नहीं जानी तुम केरी,
रह्यां  निशदिन दुःख घेरी

इस विध विनंती तोरी, करूं मैं दोय कर जोड़ी
आतम आनंद मुज दीजो
वीर नुं काज सब किजो


#sandhyabhakti #vikramkrupa #latestjainsongs #jainstavan #jainbhaktisangeet #prabhumilan #melodious #soulful #jainism #devtional #jainsong",UCgQGdfUETTU-sTWR035gFQA,22447,Sandhya Bhakti Jain Songs,332,169,People \u0026 Blogs,2020-04-19 09:55:59,,SxcWDRe0NJ4
,True,01 Prastavana,01 Prastavana,,UC_OoX9C_AVGd4PZWp2Apa0w,1167,"Shree Samkit Yuvak Mandal, Borivali",190,50,People \u0026 Blogs,2021-02-01 16:37:37,,msD7yhCclf8
